"id";"productcode";"producttype";"price"
1;"WPU8900CX";"WPU";8980.0
2;"WPU8900FX";"WPU";9980.0
3;"Hp15";"U";3980.0
4;"WPU8200C";"WPU";7980.0
5;"WPU8200F";"WPU";7980.0
6;"WPU8900C";"WPU";7980.0
7;"WPU8900F";"WPU";7980.0
8;"WPU6500C";"WPU";0.0
9;"WPU2200";"WPU";0.0
10;"CHP340";"WPU";0.0
11;"ION1100";"WPU";0.0
12;"WPU9900";"WPU";9980.0
13;"WPU9800";"WPU";9980.0
14;"HB840";"WPU";1.0
15;"WPU2800";"WPU";3980.0
16;"CHP242N";"WPU";0.0
17;"WPU8260C";"WPU";0.0
18;"WPU 9910";"WPU";6380.0
19;"WPU 8235C";"WPU";1780.0
20;"CWS153S";"WPU";1780.0
21;"PT2000";"WPU";1780.0
22;"WPU 8260F";"WPU";0.0
23;"CHP601F";"WPU";0.0
24;"WPU 8250F";"WPU";0.0
25;"A 200";"WPU";0.0
26;"WPU 2500C";"WPU";0.0
27;"WPU 6500F";"WPU";0.0
28;"WPU 2900";"WPU";5980.0
